place_id;keywords;country;city;location_name;location_address;lat;lng;location_rating;blog_url;location_google_types;postcode;photo_uri
ChIJ-Zkfm3yjyFYRyN_UveypSGk;beach;US;Anchorage;Kincaid Beach Access;Unnamed Road, Anchorage, AK 99502, United States;61.155.218;-150.070.004;04. May;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;park,point_of_interest,establishment;99502;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q58wIlwjnmHJQzPxA_ddvcvO6lg9BBv22p4OdvCS7RKd2FPHUJOBNrbnTKiMyTiNocFxuisXv3iScU6xU0oLrq-sCfce1QVCkytC8eztNQZyABRjbj4DkXuZBzRvnsOUfBsUc8HeBV2iPCsca6DZTCCpNlUa4s1DcOCZm3R5MCihP25&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ-wU15deWyFYRCBiYEgBtSFI;art classes, botanical garden, classes, educational classes, events, field trips, garden, guided walks, light display;US;Anchorage;Alaska Botanical Garden;4601 Campbell Airstrip Road, Anchorage, AK 99507, United States;6.117.777.439.999.990;-1.497.615.572;04. Jul;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;tourist_attraction,park,point_of_interest,establishment;99507;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q5GwKfebl3pg8BZP-NRNL124QYWgGkybOfn0CnJiSncAb1H1TneEdWWwsbojsxyN5ee35xpSTFEGk1lXVhiBNIwQ37QjEwIMuDvugrrhkuwTLIJkOrzgp5eExrJgo6IOD66i_e8S3mlNyInvz0_UhCdkhUhT2tnZkbi_Di_xUgp6tIW&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ00sQ8ny9yFYRGCr4QjH5c_E;Nordic skiing, biking, birdwatching, fat biking, ice skating, mountain views, outdoor, paved path, rollerblading, trail, vibrant, walking;US;Anchorage;Westchester Lagoon;Westchester Lagoon, Anchorage, AK, USA;6.120.541.159.999.990;-149.917.011;04. Aug;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;natural_feature,establishment;;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q7yU2s7IGuXd4TdrNytIPVqCykCePs1uPh0p5NLABkV9N8Fcq8c39QIldYKqtIKc-6lRDMmp-qoyPMblWWWZQkuT_ksGNwUjoZLxurjJ572s5bB30ifx_60_AvgYiOZV0tpQ7JHuVHoG2G8NAp8AK_Vum7fB4PWGcoqx7zUFtvLta8G&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ13tR7OOXyFYROgdMLOiSY3w;books, cafe, events, musical performances, poetry readings;US;Anchorage;The Writer's Block Bookstore & Cafe;3956 Spenard Rd, Anchorage, AK 99517, United States;61.184.583;-149.926.354;04. Jul;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;cafe,food,point_of_interest,establishment;99517;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q7Ek6hwmPBiHrcv5w0UMB2QBHzQT6xTHacAPjGDYqYHl-vMiceRSIysVyttKX6NVqedStXZyFhid42yNuFC2nb6wS0DhUqo3vSfqPznecc61itb_WqORXPXQhZMoPaqar6Si76DLnW15YO1V21eXknRkK1QCP9uJYH1vZzJWeKXxZIT&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ3_F0xjO9yFYRkzwRV2sX5ms;beach, moose, park, trails, views, wildlife;US;Anchorage;Point Woronzof Rd;Point Woronzof Rd, Anchorage, AK 99502, USA;611.888.065;-1.500.138.706;;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;route;99502;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q5LQSob4lpyqEn9OV5NN1wWfHDXTqWcZiDCv8lykR6AF0y59kxji-C8_WBkMlCUlA7o8K9-SX6Q7nvLIn3hnHoMNUMDydXiKrLe804DKIVFTTIRAGEUbdKz23Q2L9OX7KsEQFOWO8U-pC_B6-Uaxa_HJErMaqW4vLnz5PFjOgJ86lm_&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ5QWeniqWyFYROoPMSGBx6BE;festival, food, games, parade, park, rides, vendors;US;Anchorage;Delaney Park;W 9th Ave, Anchorage, AK 99501, United States;61.213.055;-149.896.227;04. May;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;park,tourist_attraction,point_of_interest,establishment;99501;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q6tAfD8Fgo9rxlELiv_HX6hI4Q1yOM0HIiwzdntT3XLbIRDbAv2FJeSh22KNCBWxgkIlFpvzDlSPCrlrTIxUysmNWpsD4uLaue5PSSJXqePeDMmVr3ma1mJJRyX6pdBtjDn-Cd3_CCVyR3vR7Y0PTAhpXDHXHn1vQGFe8aSWjoh7Np-&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ74yBsWmYyFYRP7nDOg4COX8;scenic train, train;US;Anchorage;Alaska Train;3900 Arctic Blvd Suite 304, Anchorage, AK 99503, United States;6.118.507.249.999.990;-1.498.985.428;04. Jun;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;tourist_attraction,travel_agency,point_of_interest,establishment;99503;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q6KIbUlZoaMs2EHkpvkUjRXKf4lIq4uFCTooXG7KdUQMrXewPJeV-7d3LVIyfbP4Cg-qH7r7wPViJBqzWQ0XpWo7ULFYOL5urq917nPtpkvGlyEPBhkzBm1EitpRlv-4a8zW3h9Aj3KGm_9KYa_AqTfeLue8QhZSMw61THGGt8XHKse&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ853BIc-byFYRNI3jZNGBMBw;birdwatching, boardwalk, wildlife;US;Anchorage;Potter Marsh Wildlife Viewing Boardwalk;2999 E 154th Ave, Anchorage, AK 99516, United States;610.778.438;-1.498.270.565;04. Jul;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;tourist_attraction,park,point_of_interest,establishment;99516;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q6_xktgorioCK_judFRNfwrmDkpmAuwnagmaVaDuMvXPPUEWSoN0kFulxFy87CqBVLU1Ww8Pyq8VTa4j_fJxI-UL9l-RrOvBZo0i1N2AgAe742qzveHU7G8KYMkw7vbD-Nt113MHYdPm7O-dTZ9J5X8j7UJAAJAod4kJzReHRJYWn0m&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ8ceU4tuXyFYRg2Lu2qfMCxw;art, clothing, crafts, jewelry, local artists, local designers;US;Anchorage;Dos Manos;1317 W Northern Lights Blvd #3, Anchorage, AK 99503, United States;611.956.137;-1.499.089.159;04. Sep;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;art_gallery,point_of_interest,establishment;99503;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q6aCRjYF6gYkNSF6xJaLQV73pCkVmaSzGg4MTmPD0IQRC-mziJMxkOmhpTG1pvKYGqQOtzkHmIeG5dFVZbVLwQCdMtg8tZJShyrYKqgU3otEDdL8AZzfSRuBPJBR6-N7rZ37Y61nkpmylrhMZmWgBojjVDnfgK05bQHKnVC8MXHizLk&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
ChIJ9fW-Boe9yFYRrCJkSjmpmf0;fine dining, local ingredients;US;Anchorage;The Marx Bros Cafe;627 W 3rd Ave, Anchorage, AK 99501, United States;612.196.898;-14.989.465;04. Jun;https://handpickedalaska.com/blog/what-to-do-in-anchorage-alaska;cafe,restaurant,food,point_of_interest,establishment;99501;https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&maxheight=400&photoreference=AXCi2Q7F5fYXdHcQ4VQppxiZcZ4YD9-hq93yUm0DIa-v_Yr16wBCBzZ-LOZvIJ1rQ-XeQD_kTjJbYAdUmDEsqn_qdcW5CDUoQaosgqCCNKLeXH7Sf5M_Rjca-rZOTlFF2sbyfdQfXj3GqNgD0rkec3uPTxD-_sRipmUCEgcxTSOxv4gFBQye&key=AIzaSyCZB9iu6m-_FZZYpQhzk2ZBavfLo9rYEnk
